Cod_Localidad;Área;Casos;Nacidos vivos + muertes fetales;Incidencia;Año;;;;;;
01;Usaquén;12;6540;1,8;2008;;;;;;
02;Chapinero;2;1793;1,1;2008;;;;;;
03;Santa Fe;25;2141;11,7;2008;;;;;;
04;San Cristóbal;44;7902;5,6;2008;;;;;;
05;Usme;19;6691;2,8;2008;;;;;;
06;Tunjuelito;6;3808;1,6;2008;;;;;;
07;Bosa;29;11257;2,6;2008;;;;;;
08;Kennedy;30;16486;1,8;2008;;;;;;
09;Fontibón;8;5130;1,6;2008;;;;;;
10;Engativá;17;11707;1,5;2008;;;;;;
11;Suba;24;16153;1,5;2008;;;;;;
12;Barrios Unidos;1;1780;0,6;2008;;;;;;
13;Teusaquillo;3;1318;2,3;2008;;;;;;
14;Los Mártires;18;1468;12,3;2008;;;;;;
15;Antonio Nariño;3;1272;2,4;2008;;;;;;
16;Puente Aranda;7;3846;1,8;2008;;;;;;
17;La Candelaria;0;331;0;2008;;;;;;
18;Rafael Uribe Uribe;27;7303;3,7;2008;;;;;;
19;Ciudad Bolívar;49;12175;4;2008;;;;;;
20;Sumapaz;0;59;0;2008;;;;;;
00;Distrito;325;120060;2,7;2008;;;;;;
01;Usaquén;10;6536;1,5;2009;;;;;;
02;Chapinero;1;1906;0,5;2009;;;;;;
03;Santa Fe;16;1917;8,3;2009;;;;;;
04;San Cristóbal;37;703;4,6;2009;;;;;;
05;Usme;12;6765;1,8;2009;;;;;;
06;Tunjuelito;9;3641;2,5;2009;;;;;;
07;Bosa;21;11094;1,9;2009;;;;;;
08;Kennedy;30;16218;1,8;2009;;;;;;
09;Fontibón;4;5093;0,8;2009;;;;;;
10;Engativá;10;11461;0,9;2009;;;;;;
11;Suba;29;16058;1,8;2009;;;;;;
12;Barrios Unidos;2;1784;1,1;2009;;;;;;
13;Teusaquillo;0;1398;0;2009;;;;;;
14;Los Mártires;13;1367;9,5;2009;;;;;;
15;Antonio Nariño;5;1320;3,8;2009;;;;;;
16;Puente Aranda;1;3504;0,3;2009;;;;;;
17;La Candelaria;0;344;0;2009;;;;;;
18;Rafael Uribe Uribe;24;6898;3,5;2009;;;;;;
19;Ciudad Bolívar;19;11903;1,6;2009;;;;;;
20;Sumapaz;0;46;0;2009;;;;;;
00;Distrito;245;117910;2,1;2009;;;;;;
01;Usaquén;4;6448;0,6;2010;;;;;;
02;Chapinero;0;2179;0;2010;;;;;;
03;Santa Fe;15;1789;8,4;2010;;;;;;
04;San Cristóbal;24;7795;3,1;2010;;;;;;
05;Usme;12;6321;1,9;2010;;;;;;
06;Tunjuelito;5;3329;1,5;2010;;;;;;
07;Bosa;11;10830;1;2010;;;;;;
08;Kennedy;25;15987;1,6;2010;;;;;;
09;Fontibón;6;4796;1,3;2010;;;;;;
10;Engativá;8;10775;0,7;2010;;;;;;
11;Suba;21;15173;1,4;2010;;;;;;
12;Barrios Unidos;2;1718;1,2;2010;;;;;;
13;Teusaquillo;0;1278;0;2010;;;;;;
14;Los Mártires;7;1322;5,3;2010;;;;;;
15;Antonio Nariño;5;1175;4,3;2010;;;;;;
16;Puente Aranda;10;3208;3,1;2010;;;;;;
17;La Candelaria;11;393;28;2010;;;;;;
18;Rafael Uribe Uribe;28;6425;4,4;2010;;;;;;
19;Ciudad Bolívar;40;11533;3,5;2010;;;;;;
20;Sumapaz;0;36;0;2010;;;;;;
00;Distrito;236;113359;2,1;2010;;;;;;
01;Usaquén;3;5984;0,5;2011;;;;;;
02;Chapinero;0;1943;0;2011;;;;;;
03;Santa Fe;10;1653;6;2011;;;;;;
04;San Cristóbal;20;7400;2,7;2011;;;;;;
05;Usme;12;6315;1,9;2011;;;;;;
06;Tunjuelito;5;3197;1,6;2011;;;;;;
07;Bosa;19;10665;1,8;2011;;;;;;
08;Kennedy;24;15652;1,5;2011;;;;;;
09;Fontibón;5;4508;1,1;2011;;;;;;
10;Engativá;3;10405;0,3;2011;;;;;;
11;Suba;16;14740;1,1;2011;;;;;;
12;Barrios Unidos;2;1825;1,1;2011;;;;;;
13;Teusaquillo;1;1363;0,7;2011;;;;;;
14;Los Mártires;8;1260;6,3;2011;;;;;;
15;Antonio Nariño;4;1385;2,9;2011;;;;;;
16;Puente Aranda;4;3257;1,2;2011;;;;;;
17;La Candelaria;2;325;6,2;2011;;;;;;
18;Rafael Uribe Uribe;18;6196;2,9;2011;;;;;;
19;Ciudad Bolívar;35;11286;3,1;2011;;;;;;
20;Sumapaz;0;20;0;2011;;;;;;
00;Distrito;197;109525;1,8;2011;;;;;;
01;Usaquén;6;6329;0,9;2012;;;;;;
02;Chapinero;2;2103;1;2012;;;;;;
03;Santa Fe;9;1712;5,3;2012;;;;;;
04;San Cristóbal;28;6555;4,3;2012;;;;;;
05;Usme;12;6072;2;2012;;;;;;
06;Tunjuelito;7;2957;2,4;2012;;;;;;
07;Bosa;16;10490;1,5;2012;;;;;;
08;Kennedy;22;15795;1,4;2012;;;;;;
09;Fontibón;4;4459;0,9;2012;;;;;;
10;Engativá;7;9702;0,7;2012;;;;;;
11;Suba;17;14580;1,2;2012;;;;;;
12;Barrios Unidos;1;1702;0,6;2012;;;;;;
13;Teusaquillo;2;1227;1,6;2012;;;;;;
14;Los Mártires;15;1311;11,4;2012;;;;;;
15;Antonio Nariño;4;1134;3,5;2012;;;;;;
16;Puente Aranda;5;3072;1,6;2012;;;;;;
17;La Candelaria;11;392;28,1;2012;;;;;;
18;Rafael Uribe Uribe;16;5839;2,7;2012;;;;;;
19;Ciudad Bolívar;48;10881;4,4;2012;;;;;;
20;Sumapaz;0;44;0;2012;;;;;;
00;Distrito;234;106425;2,2;2012;;;;;;
01;Usaquén;9;6086;1,5;2013;;;;;;
02;Chapinero;1;1987;0,5;2013;;;;;;
03;Santa Fe;15;1706;8,8;2013;;;;;;
04;San Cristóbal;17;6197;2,7;2013;;;;;;
05;Usme;16;5633;2,8;2013;;;;;;
06;Tunjuelito;10;2959;3,4;2013;;;;;;
07;Bosa;10;10200;1;2013;;;;;;
08;Kennedy;14;15367;0,9;2013;;;;;;
09;Fontibón;8;4437;1,8;2013;;;;;;
10;Engativá;12;9633;1,2;2013;;;;;;
11;Suba;23;14915;1,5;2013;;;;;;
12;Barrios Unidos;1;1717;0,6;2013;;;;;;
13;Teusaquillo;1;1378;0,7;2013;;;;;;
14;Los Mártires;12;1226;9,8;2013;;;;;;
15;Antonio Nariño;5;1356;3,7;2013;;;;;;
16;Puente Aranda;3;3126;1;2013;;;;;;
17;La Candelaria;0;388;0;2013;;;;;;
18;Rafael Uribe Uribe;19;5850;3,2;2013;;;;;;
19;Ciudad Bolívar;35;10147;3,4;2013;;;;;;
20;Sumapaz;0;41;0;2013;;;;;;
00;Distrito;218;104455;2,1;2013;;;;;;
01;Usaquén;8;600;1,3;2014;;;;;;
02;Chapinero;4;1961;2;2014;;;;;;
03;Santa Fe;9;1655;5,4;2014;;;;;;
04;San Cristóbal;18;6344;2,8;2014;;;;;;
05;Usme;22;5394;4,1;2014;;;;;;
06;Tunjuelito;8;2813;2,8;2014;;;;;;
07;Bosa;7;64;0,7;2014;;;;;;
08;Kennedy;21;15190;1,4;2014;;;;;;
09;Fontibón;1;4424;0,2;2014;;;;;;
10;Engativá;13;10120;1,3;2014;;;;;;
11;Suba;24;14933;1,6;2014;;;;;;
12;Barrios Unidos;4;1644;2,4;2014;;;;;;
13;Teusaquillo;0;1498;0;2014;;;;;;
14;Los Mártires;5;1293;3,9;2014;;;;;;
15;Antonio Nariño;5;1289;3,9;2014;;;;;;
16;Puente Aranda;1;3212;0,3;2014;;;;;;
17;La Candelaria;1;422;2,4;2014;;;;;;
18;Rafael Uribe Uribe;13;5556;2,3;2014;;;;;;
19;Ciudad Bolívar;44;10653;4,1;2014;;;;;;
20;Sumapaz;0;35;0;2014;;;;;;
00;Distrito;211;104717;2;2014;;;;;;
01;Usaquén;3;6410;0,5;2015;;;;;;
02;Chapinero;0;1940;0;2015;;;;;;
03;Santa Fe;6;1552;3,9;2015;;;;;;
04;San Cristóbal;12;6105;2;2015;;;;;;
05;Usme;7;5548;1,3;2015;;;;;;
06;Tunjuelito;4;2740;1,5;2015;;;;;;
07;Bosa;10;10547;0,9;2015;;;;;;
08;Kennedy;8;15180;0,5;2015;;;;;;
09;Fontibón;1;4296;0,2;2015;;;;;;
10;Engativá;6;9481;0,6;2015;;;;;;
11;Suba;9;14966;0,6;2015;;;;;;
12;Barrios Unidos;0;1581;0;2015;;;;;;
13;Teusaquillo;1;1318;0,8;2015;;;;;;
14;Los Mártires;12;1180;10,2;2015;;;;;;
15;Antonio Nariño;5;1205;4,1;2015;;;;;;
16;Puente Aranda;1;3117;0,3;2015;;;;;;
17;La Candelaria;5;347;14,4;2015;;;;;;
18;Rafael Uribe Uribe;14;5432;2,6;2015;;;;;;
19;Ciudad Bolívar;13;10455;1,2;2015;;;;;;
20;Sumapaz;0;39;0;2015;;;;;;
00;Distrito;119;103900;1,1;2015;;;;;;
01;Usaquén;2;6271;0,3;2016;;;;;;
02;Chapinero;1;2054;0,5;2016;;;;;;
03;Santa Fe;6;1376;4,4;2016;;;;;;
04;San Cristóbal;12;5825;2,1;2016;;;;;;
05;Usme;12;5561;2,2;2016;;;;;;
06;Tunjuelito;4;2644;1,5;2016;;;;;;
07;Bosa;15;10142;1,5;2016;;;;;;
08;Kennedy;14;14270;1;2016;;;;;;
09;Fontibón;3;4259;0,7;2016;;;;;;
10;Engativá;9;8879;1;2016;;;;;;
11;Suba;5;13877;0,4;2016;;;;;;
12;Barrios Unidos;0;1569;0;2016;;;;;;
13;Teusaquillo;0;1258;0;2016;;;;;;
14;Los Mártires;12;1107;10,8;2016;;;;;;
15;Antonio Nariño;0;1235;0;2016;;;;;;
16;Puente Aranda;3;2875;1;2016;;;;;;
17;La Candelaria;5;261;19,2;2016;;;;;;
18;Rafael Uribe Uribe;10;5431;1,8;2016;;;;;;
19;Ciudad Bolívar;15;16;1,5;2016;;;;;;
20;Sumapaz;0;22;0;2016;;;;;;
00;Distrito;130;567;1,3;2016;;;;;;
01;Usaquén;3;5971;0,5;2017;;;;;;
02;Chapinero;1;1985;0,5;2017;;;;;;
03;Santa Fe;10;1592;6,3;2017;;;;;;
04;San Cristóbal;9;5283;1,7;2017;;;;;;
05;Usme;8;5261;1,5;2017;;;;;;
06;Tunjuelito;6;2441;2,5;2017;;;;;;
07;Bosa;8;9506;0,8;2017;;;;;;
08;Kennedy;20;13474;1,5;2017;;;;;;
09;Fontibón;1;3814;0,3;2017;;;;;;
10;Engativá;14;8259;1,7;2017;;;;;;
11;Suba;16;13375;1,2;2017;;;;;;
12;Barrios Unidos;0;1462;0;2017;;;;;;
13;Teusaquillo;0;1204;0;2017;;;;;;
14;Los Mártires;8;1056;7,6;2017;;;;;;
15;Antonio Nariño;2;1035;1,9;2017;;;;;;
16;Puente Aranda;2;2450;0,8;2017;;;;;;
17;La Candelaria;2;355;5,6;2017;;;;;;
18;Rafael Uribe Uribe;8;4737;1,7;2017;;;;;;
19;Ciudad Bolívar;23;9445;2,4;2017;;;;;;
20;Sumapaz;0;19;0;2017;;;;;;
00;Distrito;142;92941;1,5;2017;;;;;;
01;Usaquén;6;5496;1,1;2018;;;;;;
02;Chapinero;1;1680;0,6;2018;;;;;;
03;Santa Fe;8;1562;5,1;2018;;;;;;
04;San Cristóbal;9;4739;1,9;2018;;;;;;
05;Usme;10;5033;2;2018;;;;;;
06;Tunjuelito;0;2347;0;2018;;;;;;
07;Bosa;15;9249;1,6;2018;;;;;;
08;Kennedy;18;12472;1,4;2018;;;;;;
09;Fontibón;3;3732;0,8;2018;;;;;;
10;Engativá;6;8021;0,7;2018;;;;;;
11;Suba;13;12190;1,1;2018;;;;;;
12;Barrios Unidos;0;1340;0;2018;;;;;;
13;Teusaquillo;0;1163;0;2018;;;;;;
14;Los Mártires;5;1087;4,6;2018;;;;;;
15;Antonio Nariño;2;925;2,2;2018;;;;;;
16;Puente Aranda;3;2306;1,3;2018;;;;;;
17;La Candelaria;5;275;18,2;2018;;;;;;
18;Rafael Uribe Uribe;11;4672;2,4;2018;;;;;;
19;Ciudad Bolívar;16;9435;1,7;2018;;;;;;
20;Sumapaz;0;25;0;2018;;;;;;
00;Distrito;131;88076;1,5;2018;;;;;;
01;Usaquén;0;5222;0;2019;;;;;;
02;Chapinero;0;1614;0;2019;;;;;;
03;Santa Fe;8;1688;4,7;2019;;;;;;
04;San Cristóbal;8;4357;1,8;2019;;;;;;
05;Usme;7;4692;1,5;2019;;;;;;
06;Tunjuelito;3;2188;1,4;2019;;;;;;
07;Bosa;16;8939;1,8;2019;;;;;;
08;Kennedy;15;11936;1,3;2019;;;;;;
09;Fontibón;4;3561;1,1;2019;;;;;;
10;Engativá;7;7780;0,9;2019;;;;;;
11;Suba;25;12058;2,1;2019;;;;;;
12;Barrios Unidos;1;1292;0,8;2019;;;;;;
13;Teusaquillo;1;1303;0,8;2019;;;;;;
14;Los Mártires;2;1331;1,5;2019;;;;;;
15;Antonio Nariño;0;956;0;2019;;;;;;
16;Puente Aranda;5;2433;2,1;2019;;;;;;
17;La Candelaria;1;278;3,6;2019;;;;;;
18;Rafael Uribe Uribe;4;4603;0,9;2019;;;;;;
19;Ciudad Bolívar;18;9028;2;2019;;;;;;
20;Sumapaz;0;17;0;2019;;;;;;
00;Distrito;127;85398;1,5;2019;;;;;;
01;Usaquén;3;4600;0,7;2020;;;;;;
02;Chapinero;0;1509;0,0;2020;;;;;;
03;Santa Fe;3;1575;2,0;2020;;;;;;
4;San Cristóbal;11;4171;2,6;2020;;;;;;
5;Usme;8;4429;1,8;2020;;;;;;
6;Tunjuelito;7;2055;3,4;2020;;;;;;
7;Bosa;8;8541;0,9;2020;;;;;;
8;Kennedy;10;11108;0,9;2020;;;;;;
9;Fontibón;6;3089;1,9;2020;;;;;;
10;Engativá;8;7139;1,1;2020;;;;;;
11;Suba;17;11235;1,5;2020;;;;;;
12;Barrios Unidos;3;1302;2,3;2020;;;;;;
13;Teusaquillo;1;1143;0,9;2020;;;;;;
14;Los Mártires;4;1216;3,3;2020;;;;;;
15;Antonio Nariño;3;983;3,0;2020;;;;;;
16;Puente Aranda;4;2213;1,8;2020;;;;;;
17;La Candelaria;1;222;4,2;2020;;;;;;
18;Rafael Uribe Uribe;11;4426;2,5;2020;;;;;;
19;Ciudad Bolívar;18;8652;2,0;2020;;;;;;
20;Sumapaz;0;37;0,0;2020;;;;;;
21;Sin dato;0;128;0,0;2020;;;;;;
0;Distrito;126;79746;1,6;2020;;;;;;
1;Usaquén;1;4161;0,2;2021;;;;;;
2;Chapinero;1;1247;0,8;2021;;;;;;
3;Santa Fe;6;1260;4,8;2021;;;;;;
4;San Cristóbal;7;3612;1,9;2021;;;;;;
5;Usme;4;3835;1,0;2021;;;;;;
6;Tunjuelito;0;1725;0,0;2021;;;;;;
7;Bosa;7;7118;1,0;2021;;;;;;
8;Kennedy;14;9244;1,5;2021;;;;;;
9;Fontibón;2;2712;0,7;2021;;;;;;
10;Engativá;6;5667;1,1;2021;;;;;;
11;Suba;7;9600;0,7;2021;;;;;;
12;Barrios Unidos;2;987;2,0;2021;;;;;;
13;Teusaquillo;0;842;0,0;2021;;;;;;
14;Los Mártires;8;1039;7,7;2021;;;;;;
15;Antonio Nariño;0;798;0,0;2021;;;;;;
16;Puente Aranda;4;1916;2,1;2021;;;;;;
17;La Candelaria;0;181;0,0;2021;;;;;;
18;Rafael Uribe Uribe;5;3625;1,4;2021;;;;;;
19;Ciudad Bolívar;24;7677;3,1;2021;;;;;;
20;Sumapaz;0;36;0,0;2021;;;;;;
0;Distrito;99;67380;1,5;2021;;;;;;
1;Usaquén;2;4221;0,5;2022;;;;;;
2;Chapinero;1;1213;0,8;2022;;;;;;
3;Santa Fe;2;1157;1,7;2022;;;;;;
4;San Cristóbal;6;3295;1,8;2022;;;;;;
5;Usme;4;3595;1,1;2022;;;;;;
6;Tunjuelito;2;1593;1,3;2022;;;;;;
7;Bosa;10;6736;1,5;2022;;;;;;
8;Kennedy;17;9079;1,9;2022;;;;;;
9;Fontibón;4;2748;1,5;2022;;;;;;
10;Engativá;6;5765;1,0;2022;;;;;;
11;Suba;8;9548;0,8;2022;;;;;;
12;Barrios Unidos;1;1014;1,0;2022;;;;;;
13;Teusaquillo;0;957;0,0;2022;;;;;;
14;Los Mártires;3;943;3,1;2022;;;;;;
15;Antonio Nariño;1;752;1,3;2022;;;;;;
16;Puente Aranda;2;1821;1,1;2022;;;;;;
17;La Candelaria;1;196;4,8;2022;;;;;;
18;Rafael Uribe Uribe;5;3533;1,4;2022;;;;;;
19;Ciudad Bolívar;10;7007;1,4;2022;;;;;;
20;Sumapaz;0;23;0,0;2022;;;;;;
0;Distrito;86;65246;1,3;2022;;;;;;
1;Usaquén;2;3993;0,5;2023;;;;;;
2;Chapinero;1;1194;1,6;2023;;;;;;
3;Santa Fe;2;1073;1,8;2023;;;;;;
4;San Cristóbal;5;2933;2,7;2023;;;;;;
5;Usme;4;3264;1,2;2023;;;;;;
6;Tunjuelito;2;1445;1,4;2023;;;;;;
7;Bosa;6;6232;1,3;2023;;;;;;
8;Kennedy;7;8379;0,7;2023;;;;;;
9;Fontibón;0;2674;0,0;2023;;;;;;
10;Engativá;6;5817;1,4;2023;;;;;;
11;Suba;6;9177;0,6;2023;;;;;;
12;Barrios Unidos;0;917;0,0;2023;;;;;;
13;Teusaquillo;0;884;0,0;2023;;;;;;
14;Los Mártires;0;938;0,0;2023;;;;;;
15;Antonio Nariño;0;736;0,0;2023;;;;;;
16;Puente Aranda;0;1759;0,0;2023;;;;;;
17;La Candelaria;0;171;0,0;2023;;;;;;
18;Rafael Uribe Uribe;6;3269;1,8;2023;;;;;;
19;Ciudad Bolívar;7;6446;1,9;2023;;;;;;
20;Sumapaz;0;30;0,0;2023;;;;;;
0;Distrito;55;61367;0,9;2023;;;;;;
